Port,Service,Description
4548,synchromesh,Synchromesh
4549,aegate,Aegate PMR Service
4550,gds-adppiw-db,Perman I Interbase Server
4551,ieee-mih,MIH Services
4552,menandmice-mon,Men and Mice Monitoring
4553,,Reserved
4554,msfrs,MS FRS Replication
4555,rsip,RSIP Port
4556,dtn-bundle,DTN Bundle DCCP CL Protocol
4557,mtcevrunqss,Marathon everRun Quorum Service Server
4558,mtcevrunqman,Marathon everRun Quorum Service Manager
4559,hylafax,HylaFAX
4560,,Unassigned
4561,,Unassigned
4562,,Unassigned
4563,,Reserved
4564,,Unassigned
4565,,Unassigned
4566,kwtc,Kids Watch Time Control Service
4567,tram,TRAM
4568,bmc-reporting,BMC Reporting
4569,iax,Inter-Asterisk eXchange
4570,,Reserved
4571,,Unassigned
4572,,Unassigned
4573,,Reserved
4574,,Unassigned
4575,,Unassigned
4576,,Unassigned
4577,,Unassigned
4578,,Unassigned
4579,,Unassigned
4580,,Unassigned
4581,,Unassigned
4582,,Unassigned
4583,,Unassigned
4584,,Unassigned
4585,,Unassigned
4586,,Unassigned
4587,,Unassigned
4588,,Unassigned
4589,,Unassigned
4590,,Reserved
4591,l3t-at-an,HRPD L3T (AT-AN)
4592,hrpd-ith-at-an,HRPD-ITH (AT-AN)
4593,ipt-anri-anri,IPT (ANRI-ANRI)
4594,ias-session,IAS-Session (ANRI-ANRI)
4595,ias-paging,IAS-Paging (ANRI-ANRI)
4596,ias-neighbor,IAS-Neighbor (ANRI-ANRI)
4597,a21-an-1xbs,A21 (AN-1xBS)
4598,a16-an-an,A16 (AN-AN)
4599,a17-an-an,A17 (AN-AN)
4600,piranha1,Piranha1
4601,piranha2,Piranha2
4602,,Reserved
4603,,Reserved
4604,,Reserved
4605,,Reserved
4606,,Unassigned
4607,,Unassigned
4608,,Unassigned
4609,,Unassigned
4610,,Unassigned
4611,,Unassigned
4612,,Unassigned
4613,,Unassigned
4614,,Unassigned
4615,,Unassigned
4616,,Unassigned
4617,,Unassigned
4618,,Unassigned
4619,,Unassigned
4620,,Unassigned
4621,ventoso,Bidirectional single port remote radio VOIP and Control stream
4622,,Unassigned
4623,,Unassigned
4624,,Unassigned
4625,,Unassigned
4626,,Unassigned
4627,,Unassigned
4628,,Unassigned
4629,,Unassigned
4630,,Unassigned
4631,,Unassigned
4632,,Unassigned
4633,,Unassigned
4634,,Unassigned
4635,,Unassigned
4636,,Unassigned
4637,,Unassigned
4638,,Unassigned
4639,,Unassigned
4640,,Unassigned
4641,,Unassigned
4642,,Unassigned
4643,,Unassigned
4644,,Unassigned
4645,,Unassigned
4646,,Unassigned
4647,,Unassigned
4648,,Unassigned
4649,,Unassigned
4650,,Unassigned
4651,,Unassigned
4652,,Unassigned
4653,,Unassigned
4654,,Unassigned
4655,,Unassigned
4656,,Unassigned
4657,,Unassigned
4658,playsta2-app,PlayStation2 App Port
4659,playsta2-lob,PlayStation2 Lobby Port
4660,smaclmgr,smaclmgr
4661,kar2ouche,Kar2ouche Peer location service
4662,oms,OrbitNet Message Service
4663,noteit,Note It! Message Service
4664,ems,Rimage Messaging Server
4665,contclientms,Container Client Message Service
4666,eportcomm,E-Port Message Service
4667,mmacomm,MMA Comm Services
4668,mmaeds,MMA EDS Service
4669,eportcommdata,E-Port Data Service
4670,light,Light packets transfer protocol
4671,acter,Bull RSF action server
4672,rfa,remote file access server
4673,cxws,CXWS Operations
4674,appiq-mgmt,AppIQ Agent Management
4675,dhct-status,BIAP Device Status
4676,dhct-alerts,BIAP Generic Alert
4677,bcs,Business Continuity Servi
4678,traversal,boundary traversal
4679,mgesupervision,MGE UPS Supervision
4680,mgemanagement,MGE UPS Management
4681,parliant,Parliant Telephony System
4682,finisar,finisar
4683,spike,Spike Clipboard Service
4684,rfid-rp1,RFID Reader Protocol 1.0
4685,autopac,Autopac Protocol
4686,msp-os,Manina Service Protocol
4687,nst,Network Scanner Tool FTP
4688,mobile-p2p,Mobile P2P Service
4689,altovacentral,Altova DatabaseCentral
4690,prelude,Prelude IDS message proto
4691,mtn,monotone Netsync Protocol
4692,conspiracy,Conspiracy messaging
4693,,Unassigned
4694,,Unassigned
4695,,Unassigned
4696,,Unassigned
4697,,Unassigned
4698,,Unassigned
4699,,Unassigned
4700,netxms-agent,NetXMS Agent
4701,netxms-mgmt,NetXMS Management
4702,netxms-sync,NetXMS Server Synchronization
4703,,Reserved
4704,,Reserved
4705,,Unassigned
4706,,Unassigned
4707,,Unassigned
4708,,Unassigned
4709,,Unassigned
4710,,Unassigned
4711,trinity-dist,Trinity Trust Network Node Communication
4712,,Unassigned
4713,,Unassigned
4714,,Unassigned
4715,,Unassigned
4716,,Unassigned
4717,,Unassigned
4718,,Unassigned
4719,,Unassigned
4720,,Unassigned
4721,,Unassigned
4722,,Unassigned
4723,,Unassigned
4724,,Unassigned
4725,truckstar,TruckStar Service
4726,a26-fap-fgw,A26 (FAP-FGW)
4727,fcis-disc,F-Link Client Information Service Discovery
4728,capmux,CA Port Multiplexer
4729,gsmtap,GSM Interface Tap
4730,gearman,Gearman Job Queue System
4731,,Reserved
4732,ohmtrigger,OHM server trigger
4733,,Reserved
4734,,Unassigned
4735,,Unassigned
4736,,Unassigned
4737,ipdr-sp,IPDR/SP
4738,solera-lpn,SoleraTec Locator
4739,ipfix,IP Flow Info Export
4740,ipfixs,ipfix protocol over DTLS
4741,lumimgrd,Luminizer Manager
4742,sicct-sdp,SICCT Service Discovery Protocol
4743,openhpid,openhpi HPI service
4744,ifsp,Internet File Synchronization Protocol
4745,fmp,Funambol Mobile Push
4746,intelliadm-disc,IntelliAdmin Discovery
4747,,Reserved
4748,,Unassigned
4749,profilemac,Profile for Mac
4750,ssad,Simple Service Auto Discovery
4751,spocp,Simple Policy Control Protocol
4752,snap,Simple Network Audio Protocol
4753,simon-disc,Simple Invocation of Methods Over Network (SIMON) Discovery
4754,gre-in-udp,GRE-in-UDP Encapsulation
4755,gre-udp-dtls,GRE-in-UDP Encapsulation with DTLS
4756,,Reserved
4757,,Unassigned
4758,,Unassigned
4759,,Unassigned
4760,,Unassigned
4761,,Unassigned
4762,,Unassigned
4763,,Unassigned
4764,,Unassigned
4765,,Unassigned
4766,,Unassigned
4767,,Unassigned
4768,,Unassigned
4769,,Unassigned
4770,,Unassigned
4771,,Unassigned
4772,,Unassigned
4773,,Unassigned
4774,,Reserved
4775,,Unassigned
4776,,Unassigned
4777,,Unassigned
4778,,Unassigned
4779,,Unassigned
4780,,Unassigned
4781,,Unassigned
4782,,Unassigned
4783,,Unassigned
4784,bfd-multi-ctl,BFD Multihop Control
4785,cncp,Cisco Nexus Control Protocol
4786,,Reserved
4787,,Reserved
4788,,Reserved
4789,,Reserved
4790,,Reserved
4791,,Reserved
4792,,Unassigned
4793,,Unassigned
4794,,Unassigned
4795,,Unassigned
4796,,Unassigned
4797,,Unassigned
4798,,Unassigned
4799,,Unassigned
4800,iims,Icona Instant Messenging System
4801,iwec,Icona Web Embedded Chat
4802,ilss,Icona License System Server
4803,notateit-disc,Notateit Messaging Discovery
4804,aja-ntv4-disc,AJA ntv4 Video System Discovery
4805,,Unassigned
4806,,Unassigned
4807,,Unassigned
4808,,Unassigned
4809,,Unassigned
4810,,Unassigned
4811,,Unassigned
4812,,Unassigned
4813,,Unassigned
4814,,Unassigned
4815,,Unassigned
4816,,Unassigned
4817,,Unassigned
4818,,Unassigned
4819,,Unassigned
4820,,Unassigned
4821,,Unassigned
4822,,Unassigned
4823,,Unassigned
4824,,Unassigned
4825,,Unassigned
4826,,Unassigned
4827,htcp,HTCP
4828,,Unassigned
4829,,Unassigned
4830,,Unassigned
4831,,Unassigned
4832,,Unassigned
4833,,Unassigned
4834,,Unassigned
4835,,Unassigned
4836,,Unassigned
4837,varadero-0,Varadero-0
4838,varadero-1,Varadero-1
4839,varadero-2,Varadero-2
4840,opcua-udp,OPC UA Multicast Datagram Protocol
4841,quosa,QUOSA Virtual Library Service
4842,gw-asv,nCode ICE-flow Library AppServer
4843,opcua-tls,OPC UA TCP Protocol over TLS/SSL
4844,gw-log,nCode ICE-flow Library LogServer
4845,wcr-remlib,WordCruncher Remote Library Service
4846,contamac_icm,Contamac ICM Service
4847,wfc,Web Fresh Communication
4848,appserv-http,App Server - Admin HTTP
4849,appserv-https,App Server - Admin HTTPS
4850,sun-as-nodeagt,Sun App Server - NA
4851,derby-repli,Apache Derby Replication
4852,,Unassigned
4853,,Unassigned
4854,,Unassigned
4855,,Unassigned
4856,,Unassigned
4857,,Unassigned
4858,,Unassigned
4859,,Unassigned
4860,,Unassigned
4861,,Unassigned
4862,,Unassigned
4863,,Unassigned
4864,,Unassigned
4865,,Unassigned
4866,,Unassigned
4867,unify-debug,Unify Debugger
4868,phrelay,Photon Relay
4869,phrelaydbg,Photon Relay Debug
4870,cc-tracking,Citcom Tracking Service
4871,wired,Wired
4872,,Unassigned
4873,,Unassigned
4874,,Unassigned
4875,,Unassigned
4876,tritium-can,Tritium CAN Bus Bridge Service
4877,lmcs,Lighting Management Control System
4878,inst-discovery,Agilent Instrument Discovery
4879,,Reserved
4880,,Reserved
4881,socp-t,SOCP Time Synchronization Protocol
4882,socp-c,SOCP Control Protocol
4883,,Reserved
4884,hivestor,HiveStor Distributed File System
4885,abbs,ABBS
4886,,Unassigned
4887,,Unassigned
4888,,Reserved
4889,,Reserved
4890,,Unassigned
4891,,Unassigned
4892,,Unassigned
4893,,Unassigned
4894,lyskom,LysKOM Protocol A
4895,,Unassigned
4896,,Unassigned
4897,,Unassigned
4898,,Unassigned
4899,radmin-port,RAdmin Port
4900,hfcs,HFSQL Client/Server Database Engine
4901,,Reserved
4902,,Reserved
4903,,Unassigned
4904,,Unassigned
4905,,Unassigned
4906,,Unassigned
4907,,Unassigned
4908,,Unassigned
4909,,Unassigned
4910,,Unassigned
4911,,Unassigned
4912,,Reserved
4913,lutcp,LUTher Control Protocol
4914,bones,Bones Remote Control
4915,,Reserved
4916,,Unassigned
4917,,Unassigned
4918,,Unassigned
4919,,Unassigned
4920,,Unassigned
4921,,Unassigned
4922,,Unassigned
4923,,Unassigned
4924,,Unassigned
4925,,Unassigned
4926,,Unassigned
4927,,Unassigned
4928,,Unassigned
4929,,Unassigned
4930,,Unassigned
4931,,Unassigned
4932,,Unassigned
4933,,Unassigned
4934,,Unassigned
4935,,Unassigned
4936,,Reserved
4937,atsc-mh-ssc,ATSC-M/H Service Signaling Channel
4938,,Unassigned
4939,,Unassigned
4940,eq-office-4940,Equitrac Office
4941,eq-office-4941,Equitrac Office
4942,eq-office-4942,Equitrac Office
4943,,Unassigned
4944,,Unassigned
4945,,Unassigned
4946,,Unassigned
4947,,Unassigned
4948,,Unassigned
4949,munin,Munin Graphing Framework
4950,sybasesrvmon,Sybase Server Monitor
4951,pwgwims,PWG WIMS
4952,sagxtsds,SAG Directory Server
4953,,Reserved
4954,,Unassigned
4955,,Unassigned
4956,,Unassigned
4957,,Unassigned
4958,,Unassigned
4959,,Unassigned
4960,,Unassigned
4961,,Unassigned
4962,,Unassigned
4963,,Unassigned
4964,,Unassigned
4965,,Unassigned
4966,,Unassigned
4967,,Unassigned
4968,,Unassigned
4969,ccss-qmm,CCSS QMessageMonitor
4970,ccss-qsm,CCSS QSystemMonitor
4971,,Reserved
4972,,Unassigned
4973,,Unassigned
4974,,Unassigned
4975,,Unassigned
4976,,Unassigned
4977,,Unassigned
4978,,Unassigned
4979,,Unassigned
4980,,Reserved
4981,,Unassigned
4982,,Unassigned
4983,,Unassigned
4984,,Reserved
4985,,Reserved
4986,mrip,Model Railway Interface Program
4987,smar-se-port1,SMAR Ethernet Port 1
4988,smar-se-port2,SMAR Ethernet Port 2
4989,parallel,Parallel for GAUSS (tm)
4990,busycal,BusySync Calendar Synch. Protocol
4991,vrt,VITA Radio Transport
4992,,Unassigned
4993,,Unassigned
4994,,Unassigned
4995,,Unassigned
4996,,Unassigned
4997,,Unassigned
4998,,Unassigned
4999,hfcs-manager,HFSQL Client/Server Database Engine Manager
5000,commplex-main,
5001,commplex-link,
5002,rfe,radio free ethernet
5003,fmpro-internal,"FileMaker, Inc. - Proprietary name binding"
5004,avt-profile-1,RTP media data
5005,avt-profile-2,RTP control protocol
5006,wsm-server,wsm server
5007,wsm-server-ssl,wsm server ssl
5008,synapsis-edge,Synapsis EDGE
5009,winfs,Microsoft Windows Filesystem
5010,telelpathstart,TelepathStart
5011,telelpathattack,TelepathAttack
5012,nsp,NetOnTap Service
5013,fmpro-v6,"FileMaker, Inc. - Proprietary transport"
5014,onpsocket,Overlay Network Protocol
5015,,Reserved
5016,,Unassigned
5017,,Unassigned
5018,,Unassigned
5019,,Unassigned
5020,zenginkyo-1,zenginkyo-1
5021,zenginkyo-2,zenginkyo-2
5022,mice,mice server
5023,htuilsrv,Htuil Server for PLD2
5024,scpi-telnet,SCPI-TELNET
5025,scpi-raw,SCPI-RAW
5026,strexec-d,Storix I/O daemon (data)
5027,strexec-s,Storix I/O daemon (stat)
5028,,Reserved
5029,infobright,Infobright Database Server
5030,surfpass,SurfPass
5031,dmp,Direct Message Protocol
5032,,Reserved
5033,,Reserved
5034,,Reserved
5035,,Unassigned
5036,,Unassigned
5037,,Unassigned
5038,,Unassigned
5039,,Unassigned
5040,,Unassigned
5041,,Unassigned
5042,asnaacceler8db,asnaacceler8db
5043,swxadmin,ShopWorX Administration
5044,lxi-evntsvc,LXI Event Service
5045,,Reserved
5046,vpm-udp,Vishay PM UDP Service
5047,iscape,iSCAPE Data Broadcasting
5048,,Reserved
5049,ivocalize,iVocalize Web Conference
5050,mmcc,multimedia conference control tool
5051,ita-agent,ITA Agent
5052,ita-manager,ITA Manager
5053,rlm-disc,RLM Discovery Server
5054,,Reserved
5055,unot,UNOT
5056,intecom-ps1,Intecom Pointspan 1
5057,intecom-ps2,Intecom Pointspan 2
5058,locus-disc,Locus Discovery
5059,sds,SIP Directory Services
5060,sip,SIP
5061,sips,SIP-TLS
5062,na-localise,Localisation access
5063,,Reserved
5064,ca-1,Channel Access 1
5065,ca-2,Channel Access 2
5066,stanag-5066,STANAG-5066-SUBNET-INTF
5067,authentx,Authentx Service
5068,,Reserved
5069,i-net-2000-npr,I/Net 2000-NPR
5070,vtsas,VersaTrans Server Agent Service
5071,powerschool,PowerSchool
5072,ayiya,Anything In Anything
5073,tag-pm,Advantage Group Port Mgr
5074,alesquery,ALES Query
5075,,Reserved
5076,,Unassigned
5077,,Unassigned
5078,,Reserved
5079,cp-spxrpts,Cambridge Pixel SPx Reports
5080,onscreen,OnScreen Data Collection Service
5081,sdl-ets,SDL - Ent Trans Server
5082,qcp,Qpur Communication Protocol
5083,qfp,Qpur File Protocol
5084,llrp,EPCglobal Low-Level Reader Protocol
5085,encrypted-llrp,EPCglobal Encrypted LLRP
5086,,Reserved
5087,,Reserved
5088,,Unassigned
5089,,Unassigned
5090,car,Candidate AR
5091,cxtp,Context Transfer Protocol
5092,magpie,Magpie Binary
5093,sentinel-lm,Sentinel LM
5094,hart-ip,HART-IP
5095,,Unassigned
5096,,Unassigned
5097,,Unassigned
5098,,Unassigned
5099,sentlm-srv2srv,SentLM Srv2Srv
5100,socalia,Socalia service mux
5101,talarian-udp,Talarian_UDP
5102,oms-nonsecure,Oracle OMS non-secure
5103,,Reserved
5104,tinymessage,TinyMessage
5105,hughes-ap,Hughes Association Protocol
5106,,Reserved
5107,,Reserved
5108,,Unassigned
5109,,Unassigned
5110,,Unassigned
5111,taep-as-svc,TAEP AS service
5112,pm-cmdsvr,PeerMe Msg Cmd Service
5113,,Unassigned
5114,,Reserved
5115,,Reserved
5116,emb-proj-cmd,EPSON Projecter Image Transfer
5117,,Reserved
5118,,Unassigned
5119,,Unassigned
5120,barracuda-bbs,Barracuda Backup Protocol
5121,,Unassigned
5122,,Unassigned
5123,,Unassigned
5124,,Unassigned
5125,,Unassigned
5126,,Unassigned
5127,,Unassigned
5128,,Unassigned
5129,,Unassigned
5130,,Unassigned
5131,,Unassigned
5132,,Unassigned
5133,nbt-pc,Policy Commander
5134,,Reserved
5135,,Reserved
5136,minotaur-sa,Minotaur SA
5137,ctsd,MyCTS server port
5138,,Unassigned
5139,,Unassigned
5140,,Unassigned
5141,,Unassigned
5142,,Unassigned
5143,,Unassigned
5144,,Unassigned
5145,rmonitor_secure,RMONITOR SECURE
5146,,Reserved
5147,,Unassigned
5148,,Unassigned
5149,,Unassigned
5150,atmp,Ascend Tunnel Management Protocol
5151,esri_sde,ESRI SDE Remote Start
5152,sde-discovery,ESRI SDE Instance Discovery
5153,,Reserved
5154,bzflag,BZFlag game server
5155,asctrl-agent,Oracle asControl Agent
5156,,Reserved
5157,,Reserved
5158,,Unassigned
5159,,Unassigned
5160,,Unassigned
5161,,Reserved
5162,,Reserved
5163,,Reserved
5164,vpa-disc,Virtual Protocol Adapter Discovery
5165,ife_icorp,ife_1corp
5166,winpcs,WinPCS Service Connection
5167,scte104,SCTE104 Connection
5168,scte30,SCTE30 Connection
5169,,Unassigned
5170,,Unassigned
5171,,Unassigned
5172,,Reserved
5173,,Unassigned
5174,,Unassigned
5175,,Unassigned
5176,,Unassigned
5177,,Unassigned
5178,,Unassigned
5179,,Unassigned
5180,,Unassigned
5181,,Unassigned
5182,,Unassigned
5183,,Unassigned
5184,,Unassigned
5185,,Unassigned
5186,,Unassigned
5187,,Unassigned
5188,,Unassigned
5189,,Unassigned
5190,aol,America-Online
5191,aol-1,AmericaOnline1
5192,aol-2,AmericaOnline2
5193,aol-3,AmericaOnline3
5194,,Reserved
5195,,Reserved
5196,,Reserved
5197,,Reserved
5198,,Unassigned
5199,,Unassigned
5200,targus-getdata,TARGUS GetData
5201,targus-getdata1,TARGUS GetData 1
5202,targus-getdata2,TARGUS GetData 2
5203,targus-getdata3,TARGUS GetData 3
5204,,Unassigned
5205,,Unassigned
5206,,Unassigned
5207,,Unassigned
5208,,Unassigned
5209,,Reserved
5210,,Unassigned
5211,,Unassigned
5212,,Unassigned
5213,,Unassigned
5214,,Unassigned
5215,noteza,NOTEZA Data Safety Service
5216,,Unassigned
5217,,Unassigned
5218,,Unassigned
5219,,Unassigned
5220,,Unassigned
5221,,Reserved
5222,,Reserved
5223,hpvirtgrp,HP Virtual Machine Group Management
5224,hpvirtctrl,HP Virtual Machine Console Operations
5225,hp-server,HP Server
5226,hp-status,HP Status
5227,perfd,HP System Performance Metric Service
5228,,Reserved
5229,,Reserved
5230,,Reserved
5231,,Reserved
5232,,Reserved
5233,,Reserved
5234,eenet,EEnet communications
5235,galaxy-network,Galaxy Network Service
5236,padl2sim,
5237,mnet-discovery,m-net discovery
5238,,Unassigned
5239,,Unassigned
5240,,Unassigned
5241,,Unassigned
5242,,Unassigned
5243,,Unassigned
5244,,Unassigned
5245,downtools-disc,DownTools Discovery Protocol
5246,capwap-control,CAPWAP Control Protocol
5247,capwap-data,CAPWAP Data Protocol
5248,caacws,CA Access Control Web Service
5249,caaclang2,CA AC Lang Service
5250,soagateway,soaGateway
5251,caevms,CA eTrust VM Service
5252,movaz-ssc,Movaz SSC
5253,,Reserved
5254,,Reserved
5255,,Unassigned
5256,,Unassigned
5257,,Unassigned
5258,,Unassigned
5259,,Unassigned
5260,,Unassigned
5261,,Unassigned
5262,,Unassigned
5263,,Unassigned
5264,3com-njack-1,3Com Network Jack Port 1
5265,3com-njack-2,3Com Network Jack Port 2
5266,,Unassigned
5267,,Unassigned
5268,,Unassigned
5269,,Reserved
5270,cartographerxmp,Cartographer XMP
5271,cuelink-disc,StageSoft CueLink discovery
5272,pk,PK
5273,,Unassigned
5274,,Unassigned
5275,,Unassigned
5276,,Unassigned
5277,,Unassigned
5278,,Unassigned
5279,,Unassigned
5280,,Reserved
5281,,Reserved
5282,transmit-port,Marimba Transmitter Port
5283,,Unassigned
5284,,Unassigned
5285,,Unassigned
5286,,Unassigned
5287,,Unassigned
5288,,Unassigned
5289,,Unassigned
5290,,Unassigned
5291,,Unassigned
5292,,Unassigned
5293,,Unassigned
5294,,Unassigned
5295,,Unassigned
5296,,Unassigned
5297,,Unassigned
5298,presence,XMPP Link-Local Messaging
5299,nlg-data,NLG Data Service
5300,hacl-hb,HA cluster heartbeat
5301,hacl-gs,HA cluster general services
5302,hacl-cfg,HA cluster configuration
5303,hacl-probe,HA cluster probing
5304,hacl-local,HA Cluster Commands
5305,hacl-test,HA Cluster Test
5306,sun-mc-grp,Sun MC Group
5307,sco-aip,SCO AIP
5308,cfengine,CFengine
5309,jprinter,J Printer
5310,outlaws,Outlaws
5311,,Unassigned
5312,permabit-cs,Permabit Client-Server
5313,rrdp,Real-time & Reliable Data
5314,opalis-rbt-ipc,opalis-rbt-ipc
5315,hacl-poll,HA Cluster UDP Polling
5316,,Unassigned
5317,,Reserved
5318,,Reserved
5319,,Unassigned
5320,,Reserved
5321,,Reserved
5322,,Unassigned
5323,,Unassigned
5324,,Unassigned
5325,,Unassigned
5326,,Unassigned
5327,,Unassigned
5328,,Unassigned
5329,,Unassigned
5330,,Unassigned
5331,,Unassigned
5332,,Unassigned
5333,,Unassigned
5334,,Unassigned
5335,,Unassigned
5336,,Unassigned
5337,,Unassigned
5338,,Unassigned
5339,,Unassigned
5340,,Unassigned
5341,,Unassigned
5342,,Unassigned
5343,kfserver,Sculptor Database Server
5344,xkotodrcp,xkoto DRCP
5345,,Unassigned
5346,,Unassigned
5347,,Unassigned
5348,,Unassigned
5349,stun-behaviors,Reserved for a future enhancement of STUN-BEHAVIOR
5350,pcp-multicast,Port Control Protocol Multicast
5351,pcp,Port Control Protocol
5352,dns-llq,DNS Long-Lived Queries
5353,mdns,Multicast DNS
5354,mdnsresponder,Multicast DNS Responder IPC
5355,llmnr,LLMNR
5356,ms-smlbiz,Microsoft Small Business
5357,wsdapi,Web Services for Devices
5358,wsdapi-s,WS for Devices Secured
5359,ms-alerter,Microsoft Alerter
5360,ms-sideshow,Protocol for Windows SideShow
5361,ms-s-sideshow,Secure Protocol for Windows SideShow
5362,serverwsd2,Microsoft Windows Server WSD2 Service
5363,net-projection,Windows Network Projection
5364,,Reserved
5365,,Unassigned
5366,,Unassigned
5367,,Unassigned
5368,,Unassigned
5369,,Unassigned
5370,,Unassigned
5371,,Unassigned
5372,,Unassigned
5373,,Unassigned
5374,,Unassigned
5375,,Unassigned
5376,,Unassigned
5377,,Unassigned
5378,,Unassigned
5379,,Unassigned
5380,,Unassigned
5381,,Unassigned
5382,,Unassigned
5383,,Unassigned
5384,,Unassigned
5385,,Unassigned
5386,,Unassigned
5387,,Unassigned
5388,,Unassigned
5389,,Unassigned
5390,,Unassigned
5391,,Unassigned
5392,,Unassigned
5393,,Unassigned
5394,,Unassigned
5395,,Unassigned
5396,,Unassigned
5397,stresstester,StressTester(tm) Injector
5398,elektron-admin,Elektron Administration
5399,securitychase,SecurityChase
5400,excerpt,Excerpt Search
5401,excerpts,Excerpt Search Secure
5402,mftp,OmniCast MFTP
5403,hpoms-ci-lstn,HPOMS-CI-LSTN
5404,hpoms-dps-lstn,HPOMS-DPS-LSTN
5405,netsupport,NetSupport
5406,systemics-sox,Systemics Sox
5407,foresyte-clear,Foresyte-Clear
5408,foresyte-sec,Foresyte-Sec
5409,salient-dtasrv,Salient Data Server
5410,salient-usrmgr,Salient User Manager
5411,actnet,ActNet
5412,continuus,Continuus
5413,wwiotalk,WWIOTALK
5414,statusd,StatusD
5415,ns-server,NS Server
5416,sns-gateway,SNS Gateway
5417,sns-agent,SNS Agent
5418,mcntp,MCNTP
5419,dj-ice,DJ-ICE
5420,cylink-c,Cylink-C
5421,netsupport2,Net Support 2
5422,salient-mux,Salient MUX
5423,virtualuser,VIRTUALUSER
5424,beyond-remote,Beyond Remote
5425,br-channel,Beyond Remote Command Channel
5426,devbasic,DEVBASIC
5427,sco-peer-tta,SCO-PEER-TTA
5428,telaconsole,TELACONSOLE
5429,base,Billing and Accounting System Exchange
5430,radec-corp,RADEC CORP
5431,park-agent,PARK AGENT
5432,postgresql,PostgreSQL Database
5433,pyrrho,Pyrrho DBMS
5434,sgi-arrayd,SGI Array Services Daemon
5435,sceanics,SCEANICS situation and action notification
5436,pmip6-cntl,pmip6-cntl
5437,pmip6-data,pmip6-data
5438,,Unassigned
5439,,Unassigned
5440,,Unassigned
5441,,Unassigned
5442,,Unassigned
5443,spss,Pearson HTTPS
5444,,Unassigned
5445,smbdirect,Server Message Block over Remote Direct Memory Access
5446,,Unassigned
5447,,Unassigned
5448,,Unassigned
5449,,Unassigned
5450,tiepie-disc,TiePie engineering data acquisition (discovery)
5451,,Unassigned
5452,,Unassigned
5453,surebox,SureBox
5454,apc-5454,APC 5454
5455,apc-5455,APC 5455
5456,apc-5456,APC 5456
5457,,Unassigned
5458,,Unassigned
5459,,Unassigned
5460,,Unassigned
5461,silkmeter,SILKMETER
5462,ttl-publisher,TTL Publisher
5463,ttlpriceproxy,TTL Price Proxy
5464,quailnet,Quail Networks Object Broker
5465,netops-broker,NETOPS-BROKER
5466,,Unassigned
5467,,Unassigned
5468,,Unassigned
5469,,Unassigned
5470,,Reserved
5471,,Reserved
5472,,Reserved
5473,,Reserved
5474,,Reserved
5475,,Reserved
5476,,Unassigned
5477,,Unassigned
5478,,Unassigned
5479,,Unassigned
5480,,Unassigned
5481,,Unassigned
5482,,Unassigned
5483,,Unassigned
5484,,Unassigned
5485,,Unassigned
5486,,Unassigned
5487,,Unassigned
5488,,Unassigned
5489,,Unassigned
5490,,Unassigned
5491,,Unassigned
5492,,Unassigned
5493,,Unassigned
5494,,Unassigned
5495,,Unassigned
5496,,Unassigned
5497,,Unassigned
5498,,Unassigned
5499,,Unassigned
5500,fcp-addr-srvr1,fcp-addr-srvr1
5501,fcp-addr-srvr2,fcp-addr-srvr2
5502,fcp-srvr-inst1,fcp-srvr-inst1
5503,fcp-srvr-inst2,fcp-srvr-inst2
5504,fcp-cics-gw1,fcp-cics-gw1
5505,checkoutdb,Checkout Database
5506,amc,Amcom Mobile Connect
5507,,Reserved
5508,,Unassigned
5509,,Unassigned
5510,,Unassigned
5511,,Unassigned
5512,,Unassigned
5513,,Unassigned
5514,,Unassigned
5515,,Unassigned
5516,,Unassigned
5517,,Unassigned
5518,,Unassigned
5519,,Unassigned
5520,,Unassigned
5521,,Unassigned
5522,,Unassigned
5523,,Unassigned
5524,,Unassigned
5525,,Unassigned
5526,,Unassigned
5527,,Unassigned
5528,,Unassigned
5529,,Unassigned
5530,,Unassigned
5531,,Unassigned
5532,,Unassigned
5533,,Unassigned
5534,,Unassigned
5535,,Unassigned
5536,,Unassigned
5537,,Unassigned
5538,,Unassigned
5539,,Unassigned
5540,,Unassigned
5541,,Unassigned
5542,,Unassigned
5543,,Unassigned
5544,,Unassigned
5545,,Unassigned
5546,,Unassigned
5547,,Unassigned
5548,,Unassigned
5549,,Unassigned
5550,,Reserved
5551,,Unassigned
5552,,Unassigned
5553,sgi-eventmond,SGI Eventmond Port
5554,sgi-esphttp,SGI ESP HTTP
5555,personal-agent,Personal Agent
5556,freeciv,Freeciv gameplay
5557,,Reserved
5558,,Unassigned
5559,,Unassigned
5560,,Unassigned
5561,,Unassigned
5562,,Unassigned
5563,,Unassigned
5564,,Unassigned
5565,,Reserved
5566,,Reserved
5567,dof-dps-mc-sec,DOF Protocol Stack Multicast/Secure Transport
5568,sdt,Session Data Transport Multicast
5569,rdmnet-device,"PLASA E1.33, Remote Device Management (RDM) messages"
5570,,Unassigned
5571,,Unassigned
5572,,Unassigned
5573,sdmmp,SAS Domain Management Messaging Protocol
5574,,Reserved
5575,,Reserved
5576,,Unassigned
5577,,Unassigned
5578,,Unassigned
5579,,Reserved
5580,tmosms0,T-Mobile SMS Protocol Message 0
5581,tmosms1,T-Mobile SMS Protocol Message 1
5582,fac-restore,T-Mobile SMS Protocol Message 3
